Folder,Repository,Languages,Twitter Profiles
"./participantes/alanlviana-aspnet","github.com/alanlviana/rinha-backend-2024-q1-aspnet","C#,PLpgSQL,Dockerfile",""
"./participantes/albert-js","github.com/AlbertArlei/rinha-de-backend-2024-q1-AlbertArlei","JavaScript,PLpgSQL,Dockerfile",""
"./participantes/alcides-kotlin","github.com/alcideslins/rinha-backend-kotlin","Kotlin,PLpgSQL,Dockerfile,Shell",""
"./participantes/alcides-quarkus","github.com/alcideslins/rinha-backend-quarkus","Java,PLpgSQL",""
"./participantes/alexandrepossebom-golang","github.com/alexandrepossebom/rinha-de-backend-2024","Failed to fetch languages for repository: github.com/alexandrepossebom/rinha-de-backend-2024 (HTTP 404)","https://twitter.com/alexandreposseb"
"./participantes/alexandrepossebom-rust","github.com/alexandrepossebom/rinha-de-backend-2024-rust","Rust,Dockerfile","https://twitter.com/alexandreposseb"
"./participantes/alexmarquesfa-kotlin","github.com/alexssanderFonseca/rinhabackend-2024-q1","Kotlin,Dockerfile",""
"./participantes/alexsiilvaa","github.com/alexsiilvaa/PequiBank","HTML,C#,CSS,JavaScript,Dockerfile,Makefile",""
"./participantes/alfrederson-go","github.com/Alfrederson/marduk","Go,Shell,Dockerfile",""
"./participantes/alfredomorais","github.com/alfmorais/RinhaBackend2024Q1","HTML,CSS,JavaScript,Shell,Python,Scala,PowerShell,Dockerfile",""
"./participantes/alissonsleal","github.com/alissonsleal/rinha_de_backend_2024_q1_bun","TypeScript,Shell,Dockerfile","https://twitter.com/alissonsleal"
"./participantes/alissonsleal_go","github.com/alissonsleal/rinha_de_backend_2024_q1_go","Go,Shell,Dockerfile,Makefile","https://twitter.com/alissonsleal"
"./participantes/alissonsleal_go","github.com/jackc/pgx","Go,HTML,Shell,Ruby","https://twitter.com/alissonsleal"
"./participantes/allissonazevedo-golang","github.com/allisson/rinha-de-backend-2024-q1-golang","Go,PLpgSQL,Dockerfile,Makefile",""
"./participantes/allissonazevedo-python","github.com/allisson/rinha-de-backend-2024-q1-python","Python,Dockerfile,PLpgSQL,Makefile","https://twitter.com/allisson"
"./participantes/andarilhoz","github.com/drogonframework/drogon","C++,CMake,HTML,Shell,Dockerfile,C","https://twitter.com/Owlflee"
"./participantes/andarilhoz","github.com/andarilhoz/rinha-de-backend-2024-q1-api","C++,CMake,Dockerfile","https://twitter.com/Owlflee"
"./participantes/anderkonzen","github.com/anderkonzen/crebito","Elixir,Dockerfile,Makefile,Shell,Batchfile","https://twitter.com/anderkonzen"
"./participantes/andersonef","github.com/andersonef/rinha-backend-2024q1-node1","JavaScript,PLpgSQL,Dockerfile",""
"./participantes/andersonfernandes-ruby","github.com/andersonfernandes/rinha-de-backend-2024-q1-ruby","Ruby,Dockerfile,Shell",""
"./participantes/andersonhqds-node","github.com/AndersonHqds/rinha-de-be-q1-2024","TypeScript,Scala,PowerShell,Shell,Dockerfile",""
"./participantes/andre-e-gustavo","github.com/AndreGabRos/rinha-de-backend-2024-q1-rust","Rust,PLpgSQL,Dockerfile","https://twitter.com/liber_duck"
"./participantes/andre-gbi-aspnet","github.com/andrenogueiragbi/rinha-de-backend-2024-aspnet","C#,PLpgSQL,Python,Dockerfile",""
"./participantes/andre-gbi-aspnet","github.com/andrenogueiragbi/rinha-de-backend-2024-q1","PLpgSQL,Shell,Scala,JavaScript,PHP,Dockerfile,PowerShell,Makefile",""
"./participantes/andre-lucas-io","github.com/andrelucasti/rinha-backend-2024","Scala",""
"./participantes/andre1999lopes","github.com/Andre1999Lopes/rinha-backend-2024q1","Go,Dockerfile","https://twitter.com/AndreLp1999"
"./participantes/andre237","github.com/andre237/rinha-de-backend-2024-q1-java","HTML,Java",""
"./participantes/andreluizsgf","github.com/andreluizsgf/go-rinha-de-backend-2024","Go,PLpgSQL,Dockerfile",""
"./participantes/andrenbrandao","github.com/andrenbrandao/rinha-de-backend-2024-q1","Go,PLpgSQL,Makefile,Dockerfile",""
"./participantes/andrepiske-01","github.com/andrepiske/as_rinhas","Ruby,JavaScript,Dockerfile",""
"./participantes/andrepraeiro","github.com/andrepraeiro/rinha-2424-q1","C#,PLpgSQL,Shell,Dockerfile",""
"./participantes/andresantos-tech-PHP","github.com/andresantos-tech/rinha-de-backend-2024-q1_source","PHP,Scala,Shell,CSS,Dockerfile","https://twitter.com/andresantos_eu"
"./participantes/andresantos-tech-PHP2","github.com/andresantos-tech/rinha-de-backend-2024-q1_V2_source","PHP,Shell,Dockerfile,PLpgSQL","https://twitter.com/andresantos_eu"
"./participantes/andretpc","github.com/andretpc/monaeilb","Rust,Dockerfile",""
"./participantes/andretpc","github.com/andretpc/rinha","Rust,Dockerfile",""
"./participantes/andrew-vasco","github.com/Andrewsoares15/rinha-backend-2024-q1","Kotlin,Dockerfile","https://twitter.com/andrewwbxd"
"./participantes/andrew-vasco","github.com/Andrewsoares15/backend-fight","Java,Dockerfile","https://twitter.com/andrewwbxd"
"./participantes/anibal.ferreira","github.com/anibalmf1/rinha-be-2024-q1","Rust,Dockerfile",""
"./participantes/antoniogdelrio","github.com/antoniogdelrio/rinha-backend-2024-q1","Scala,JavaScript,PLpgSQL,Shell,Dockerfile",""
"./participantes/antunesleo-python","github.com/antunesleo/rinha-2024-q1-python","Python,Dockerfile","https://twitter.com/antunesleo_"
"./participantes/arrudaricardo-01","github.com/arrudaricardo/rinha-de-backend-2024-q1-bun","HTML,CSS,JavaScript,Scala,TypeScript,Shell,Dockerfile",""
"./participantes/arthur-rust-go-c","github.com/arthur-teixeira/rinha-backend","Rust,Go,C,Dockerfile,Shell",""
"./participantes/arthurqueiroz4","github.com/arthurqueiroz4/rinha-backend","Go,PLpgSQL,Shell,Dockerfile","https://twitter.com/arthurqueirox"
"./participantes/arthurzapparoli","github.com/arthurgeek/rinha-backend-2024-q1","Rust,Scala,PLpgSQL,Dockerfile",""
"./participantes/asfernandes-cpp-haproxy-mongoose-firebird","github.com/asfernandes/rinhaback24q1-haproxy-mongoose-firebird","C++,Pascal,C,SQLPL,CMake,Dockerfile,Shell","https://twitter.com/adrianosf"
"./participantes/asfernandes-cpp-haproxy-mongoose-lmdb","github.com/asfernandes/rinhaback24q1-haproxy-mongoose-lmdb","C++,CMake,Dockerfile,Shell","https://twitter.com/adrianosf"
"./participantes/asfernandes-cpp-haproxy-mongoose-pgsql","github.com/asfernandes/rinhaback24q1-haproxy-mongoose-pgsql","C++,CMake,PLpgSQL,Dockerfile,Shell","https://twitter.com/adrianosf"
"./participantes/athayr","github.com/athayr/rinha-backend-2024-q1","Python,PLpgSQL,Dockerfile",""
"./participantes/avalonbits","github.com/mailru/easyjson","Go,Makefile,Shell","https://twitter.com/avalonbits"
"./participantes/avalonbits","github.com/avalonbits/rinha2024","Go,Lua,Dockerfile,Shell","https://twitter.com/avalonbits"
"./participantes/avelfir-java","github.com/AvelFir/rinha_backend_2024_q1","Java,Scala,Shell,Dockerfile",""
"./participantes/avinho","github.com/avinho/rinhabackend-quarkus","Java,Shell","https://twitter.com/aviinho"
"./participantes/aysion_bun","github.com/aysion/rinha_de_backend_2024_q1-bun","TypeScript,Dockerfile","https://twitter.com/aysiondenosfero"
"./participantes/aysion_nodejs","github.com/aysion/rinha_de_backend_2024_q1-nodejs","Scala,JavaScript,PowerShell,Shell,Dockerfile","https://twitter.com/aysiondenosfero"
"./participantes/bbeluco","github.com/Bbeluco/RinhaDeBE2024","C#,PLpgSQL,Dockerfile","https://twitter.com/Bbeluco1"
"./participantes/bbonagura9","github.com/bbonagura9/rinha-de-backend-2024-q1-api","Go,Just,Dockerfile",""
"./participantes/bcaua","github.com/bcaua321/ApiRinhaBackend","C#,PLpgSQL,Dockerfile",""
"./participantes/betamedina","github.com/gofiber/fiber","Go",""
"./participantes/betamedina","github.com/mongodb/mongo-go-driver","Go,Shell,C,Perl,Makefile,Dockerfile",""
"./participantes/betamedina","github.com/BetaMedina/rinha-backend-2024-q1-go","Go,JavaScript,Makefile",""
"./participantes/bgskurono","github.com/brunogs/rinha-de-backend-2","Go,PLpgSQL,Dockerfile","https://twitter.com/btuttin"
"./participantes/biigode","github.com/Biigode/codigoRinha2024Q1","JavaScript,Python,Dockerfile",""
"./participantes/bine-golang","github.com/Pr3d4dor/rinha-de-backend-2024-q1-golang","Failed to fetch languages for repository: github.com/Pr3d4dor/rinha-de-backend-2024-q1-golang (HTTP 404)",""
"./participantes/bine-php-hyperf","github.com/Pr3d4dor/rinha-de-backend-2024-q1-php-hyperf","PHP,Dockerfile,Shell",""
"./participantes/bine-php-laravel","github.com/Pr3d4dor/rinha-de-backend-2024-q1-php-laravel","PHP,Blade,PLpgSQL,Dockerfile,JavaScript,Shell",""
"./participantes/bine-php-road-runner","github.com/Pr3d4dor/rinha-de-backend-2024-q1-php-road-runner","PHP,PLpgSQL,Dockerfile,Shell",""
"./participantes/bine-php-swoole","github.com/Pr3d4dor/rinha-de-backend-2024-q1-php-swoole","PHP,PLpgSQL,Dockerfile,Shell",""
"./participantes/bine-reactphp","github.com/Pr3d4dor/rinha-de-backend-2024-q1-react-php","PHP,PLpgSQL,Dockerfile,Shell",""
"./participantes/boaglio-canabrava-procs","github.com/leandronsp/canabrava","Scala,Shell,Makefile,Dockerfile",""
"./participantes/boaglio-canabrava-procs","github.com/boaglio/canabrava-procs","Scala,Shell,PLpgSQL,Makefile,Dockerfile",""
"./participantes/boaglio-curvaderio","github.com/boaglio/curva-de-rio","Java,Scala,Shell,JavaScript,Dockerfile",""
"./participantes/boaglio-jaiminho","github.com/boaglio/jaiminho","Java,Scala,Shell,Dockerfile",""
"./participantes/brendonmatos-bun","github.com/brendonmatos/rinha-backend-2024-q1","TypeScript,Dockerfile",""
"./participantes/breno5g","github.com/breno5g/rinha-backend-2024-q1","Go,Makefile,Dockerfile",""
"./participantes/brenonaraujo","github.com/brenonaraujo/rinhabackend-golang","Go,Shell",""
"./participantes/brilvio","github.com/brilvio/rinha-de-backend-2024-q1-rust","Rust,PLpgSQL,Dockerfile,Makefile",""
"./participantes/brunocamarggo","github.com/brunocamarggo/rinha2024q1","Java,Dockerfile",""
"./participantes/brunocamarggo-golang","github.com/brunocamarggo/rinha2024q1-golang","Go,Dockerfile",""
"./participantes/brunodelucasbarbosa","github.com/brunodelucasbarbosa/rinha-backend-2024q1","Scala,Go,Dockerfile,PowerShell,Makefile",""
"./participantes/brunolipe-a","github.com/brunolipe-a/rinha-de-backend-2024-q1","TypeScript,JavaScript,Dockerfile",""
"./participantes/brunoquinelato","github.com/brunoquinelato/rinha-backend-2024q1-csharp","C#,Scala,Shell,Dockerfile","https://twitter.com/brunoquinelato"
"./participantes/buemura","github.com/buemura/rinha-de-backend-2024-q1-go-echo","Scala,Go,PowerShell,Shell,Dockerfile",""
"./participantes/buemura-nestjs","github.com/buemura/rinha-de-backend-2024-q1-nestjs","Scala,TypeScript,PowerShell,Shell,JavaScript,Dockerfile",""
"./participantes/buemura-quarkus","github.com/buemura/rinha-de-backend-2024-q1-java-quarkus","Java,Scala,Shell,PowerShell",""
"./participantes/bun-saulofelipe","github.com/Saulo-Felipe/rinha_backend_bun","TypeScript,Dockerfile",""
"./participantes/cacambito","github.com/ViniciusAlexsander/rinha-de-backend","TypeScript,JavaScript,Dockerfile",""
"./participantes/cadu","github.com/flipbit03/rinha-de-backend-2024-q1-cadu","Rust,Python,Makefile,Dockerfile","https://twitter.com/_____cadu_____"
"./participantes/cadu","github.com/wagoodman/dive","Go,Makefile,Dockerfile","https://twitter.com/_____cadu_____"
"./participantes/cadu","github.com/rust-lang/rfcs","Markdown,Python","https://twitter.com/_____cadu_____"
"./participantes/caique","github.com/CaiqueReinhold/rinha_backend_2024","Python,Dockerfile",""
"./participantes/cairocampos98","github.com/cairocampos/rinha-backend-2024-Q1","Scala,TypeScript,Shell,Dockerfile","https://twitter.com/cairocampos98"
"./participantes/canabrava","github.com/leandronsp/canabrava","Scala,Shell,Makefile,Dockerfile","https://twitter.com/leandronsp"
"./participantes/canabrava","github.com/leandronsp/rinha-backend-ruby","Ruby,Makefile,Dockerfile","https://twitter.com/leandronsp"
"./participantes/canabrava","github.com/leandronsp/rinha-backend-bash","Shell,Makefile,Dockerfile","https://twitter.com/leandronsp"
"./participantes/caravanacloud","github.com/CaravanaCloud/rinha-de-backend-2024-q1-impl","HTML,CSS,Java,JavaScript,PLpgSQL,Shell,Dockerfile,Python",""
"./participantes/carijo-slim","github.com/julioluchiari/carijo-slim","Scala,JavaScript,Makefile,Shell,Dockerfile","https://twitter.com/julio_luchiari"
"./participantes/carioca-tech","github.com/carioca-tech/rinha-backend-2024q1","Scala,Java,Shell",""
"./participantes/carloseduard0","github.com/CarlosEduard0/rinha-de-backend-2024-q1-dotnet","C#,Dockerfile",""
"./participantes/carls-rodrigues","github.com/carls-rodrigues/rinha-backend-rust","Rust,Dockerfile","https://twitter.com/cerfdotdev"
"./participantes/carlsonsantana-springboot","github.com/carlsonsantana/springboot-rinhabackend-2","Java,Dockerfile",""
"./participantes/carolinejk-fastapi","github.com/Carolinewk/rinha-backend-2024","Python,PLpgSQL,Dockerfile",""
"./participantes/casanje","github.com/casanej/rinha-backend-2024-q1","TypeScript,JavaScript,Dockerfile",""
"./participantes/cassiano-manuelzinho-golang","github.com/FelipeMCassiano/manuelzinho-rinha-backend-2024","Go,Dockerfile",""
"./participantes/cassiano-matheuszinho-java","github.com/FelipeMCassiano/matheuszinho-rinha-backend-java-2024","Java,Dockerfile",""
"./participantes/cassiano-pedrinho-rust","github.com/FelipeMCassiano/pedrinho-rinhadebackend-2024","Rust,Dockerfile",""
"./participantes/chipytux","github.com/chipytux/rinha-fastapi-2024-q1.git","Failed to fetch languages for repository: github.com/chipytux/rinha-fastapi-2024-q1.git (HTTP 404)",""
"./participantes/chipytux","github.com/chipytux/rinha-fastapi-2024-q1","Python,PLpgSQL,Dockerfile",""
"./participantes/claudio-silva","github.com/Claudio-code/rinha-de-backend-2024-webflux","Java,Dockerfile","https://twitter.com/Kraudiokode"
"./participantes/claudioavgo","github.com/claudioavgo/rinha-de-backend-quarkus","HTML,Java,Shell,Dockerfile","https://twitter.com/claudioavgo"
"./participantes/cleidiano","github.com/cleidiano/rinha-backend-2024q1","Kotlin,PLpgSQL,Dockerfile,Shell",""
"./participantes/cleitinif","github.com/cleitinif/golang-simple-api","Go,Dockerfile",""
"./participantes/cleverson-flask","github.com/thisiscleverson/rinha-de-backend-2024-python","Python,Dockerfile","https://twitter.com/cl3verson3_"
"./participantes/cleverton-rocha","github.com/Cleverton-Rocha/rinha-backend-ts","TypeScript,Dockerfile",""
"./participantes/cleverton-rocha-java","github.com/Cleverton-Rocha/rinha-backend-java","Java,Dockerfile",""
"./participantes/crebitojs","github.com/lucashmsilva/rinha-de-backend-2024-q1-lucashmsilva","Scala,JavaScript,Shell,Makefile,Dockerfile",""
"./participantes/cristiano182","github.com/cristiano182/rinha-backend-2024-q1","TypeScript,Scala,Shell,Dockerfile",""
"./participantes/daandrn-php","github.com/Daandrn/rinha-2024-q1","PHP",""
"./participantes/dagneifilho","github.com/dagneifilho/rinha-backend-2024-q1","C#,PLpgSQL,Dockerfile",""
"./participantes/daniel-goncalves","github.com/goncalvesmail/rinha-de-backend-2024-q1","HTML,CSS,JavaScript,Java,Scala,PowerShell,Dockerfile",""
"./participantes/danielmorello-java","github.com/danielmorello/rinha-backend-2024-q1-java","Java,Dockerfile",""
"./participantes/danielwisky","github.com/danielwisky/rinha-de-backend-2024-q1-graalvm","Java",""
"./participantes/danilo-nodejs","github.com/danilosoftwares/rinha-backend-nodejs-2024-q1","Failed to fetch languages for repository: github.com/danilosoftwares/rinha-backend-nodejs-2024-q1 (HTTP 404)",""
"./participantes/daniloflorenzano","github.com/daniloflorenzano/rinha-backend-2024-q1-csharp","C#,Dockerfile",""
"./participantes/daniloraisi","github.com/jmoiron/sqlx","Go","https://twitter.com/raisi_exception"
"./participantes/daniloraisi","github.com/julienschmidt/httprouter","Go","https://twitter.com/raisi_exception"
"./participantes/daniloraisi","github.com/daniloraisi/rinha-back-end-2024-q1","Go,PLpgSQL,Dockerfile","https://twitter.com/raisi_exception"
"./participantes/danilosilva","github.com/Danilo-Oliveira-Silva/rinha-backend-2024-poc","C#,JavaScript,Dockerfile","https://twitter.com/danilosdev"
"./participantes/danilosiqueira","github.com/danilosiqueira/rinha-de-backend-2024-q1-api","C#,Dockerfile",""
"./participantes/davi-figs-python","github.com/DaviFigs/rinha-2024-davifigs","Python,C++,C,Scala,PowerShell,Shell,Assembly,PLpgSQL,Dockerfile,Batchfile",""
"./participantes/david-silva","github.com/davidDeltaSierra/rinha-2024-q1-reactor","Java,Dockerfile",""
"./participantes/ddanielsantos","github.com/ddanielsantos/rinha-24","Rust,PLpgSQL,Dockerfile,Shell","https://twitter.com/renat0sp"
"./participantes/ddanielvaz","github.com/ddanielvaz/rinha-2024-q1-rust","Scala,Rust,Makefile,Shell,Dockerfile","https://twitter.com/daniel_vaz1986"
"./participantes/ddanielvaz","github.com/seanmonstar/warp","Rust","https://twitter.com/daniel_vaz1986"
"./participantes/ddanielvaz","github.com/bikeshedder/deadpool","Rust,Shell,Dockerfile","https://twitter.com/daniel_vaz1986"
"./participantes/ddanielvaz","github.com/leandronsp/quokka","Scala,Rust,Shell,Makefile,Dockerfile","https://twitter.com/daniel_vaz1986"
